CHRIS’ TRADE LIST					
New Additions marked in RED					

Artist	Nat.	Title of release	Format	Year	minutes
Rupture AUS Get Fucked Cunt 7"      
Rupture AUS Righteous Apes  CD      
Sawn Off    UK  s/t LP      
Sayyadina   SWE Solace Denied   7"      
Sayyadina/No Value  SWE/JAP split   7"      
Sayyadina   SWE Fear Gave Us Wings  CD      
Scalplock   UK  On Whose Terms? LP      
Scalplock   UK  Spread The Germs    LP      
Scalplock   UK  Inculcate The Fear  7"      
Scalplock/Shank UK  split   7"      
Scatha  UK  Fuck The System 7"      
Scholastic Deth USA Shackle Me Not  7"      
Scholastic Deth USA Revenge Of The Nerds    7"      
Scholastic Deth USA s/t 7"      
Scott Baio Army USA Join The Army   7"      
Scrotum Grinder USA The Greatest Sonic Abomination Ever LP      
Seein' Red/Stack    HOL/GER split   7"      
Severed Head Of State   USA No Love Lost    7"      
Severed Head Of State   USA Edem Das Seine  7"      
Severed Head Of State   USA Charge Ahead    7"      
Severed Head Of State   USA Anathema Device LP      
Sewn Shut/Mind Collage  SWE/JAP split   7"      
Sewn Shut/Ulcerrhoea    SWE/GER split   7"      
Sewn Shut/Embalming Theatre SWE/SWI split   7"      
Shank   UK  Coded Messages In Slowed Down Songs     LP      
Shank/Unholy Grave  UK/JAP  split   7"      
Shikabane   JAP Ego & Desire    7"      
Shikabane   JAP Why Do You Live?    LP      
Short Fuse  JAP Blow My Fuse    7"      
Sick Terror BRA Aborto Legal    7"      
Siege   USA Drop Dead   MLP     
Skitsystem  SWE Gra Varld/Svarta Tankar CD      
Skitsystem  SWE Enkel Resa Till Ransteinen  LP      
Skitsystem  SWE Allt E Skit LP      
Skrupel GER Gyroscan T5-11  LP      
Skrupel GER s/t     7"      
Slight Slappers/Short Hate Temper   JAP/USA split   CD      
Slight Slappers/Hated Principles    JAP/USA split   7"      
Slight Slappers JAP Selfish World Called Freedom    CD      
SMD USA Hatefed Motherfucker 666    CD      
SNFU    CAN And Noone Else Wanted To Play   LP      
S.O.B   JAP Leave Me Alone/Don't Be Swindle LP      
Social Infestation  USA Lasciente Ogni Speranza CD      
Society Of Friends  USA Growing Up, Moving Away LP      
Sodomized By Marcia Brady   USA s/t 7"      
Sore Throat UK  Unhindered By Talent    LP      
Soul Craft  JAP Absolute Suspicion  LP      
Sound Like Shit JAP Once Upon The Metal 7"      
Spazm 151   USA s/t LP      
Spazz   USA Crush Kill Destroy  CD      
Spazz/Romantic Gorilla  USA/JAP split   CD      
Spazz/Lack Of Interest  USA split   7"      
Spermbirds  GER Something To Prove  LP      
Spermbirds  GER Nothing Is Easy LP      
Spermbirds  GER Common Thread   LP      
Spermbirds  GER Eating Glass    LP      
Spitting Teeth  USA Don't Believe The Hype  7"      
The Sprouts JAP Pins & Glasses  7"      
Stack   GER Mondonervakation    7"      
Stack   GER Konkret Lichtgeschwindigkeit    LP      
The Stakeout    DEN On The Run  LP      
The Stakeout/Burnpile   DEN/USA split   LP      
Stalingrad  UK  s/t 10"     
Straight Ahead/NYC Mayhem   USA Demos   LP      
Strong Intention    USA s/t 7"      
Strong Intention    USA What Else Can We Do But Fight Back? LP      
Structure Of Lies/Misery Index  USA split   CD      
Strung Up   USA s/t 7"      
Subhumans   UK  The Day The Country Died    LP      
Subliminal Cadaverous Decomposition FRA "2" LP      
Supersleuth USA s/t 7"      
Swankers PMS    SWE 77  7"      
Swarrrm JAP Against Again   LP      
Systematic Death    JAP For The Punx And Thrashers  CD      
Systral GER Maximum Entertainment   7"      
Talk Is Poison  USA Straight To Hell    CD      
Talk Is Poison  USA Control     7"      
Tear It Up  USA s/t     7"      
Tear It Up  USA Just Can't Stand It MLP     
Tear It Up/E.T.A    USA/SWE split   LP      
Tear It Up  USA Nothing To Nothing  LP      
Tear It Up  USA Taking You Down With Me MLP     
Teen Cthulhu    USA Ride The Blade  LP      
Terror  USA One With The Underdogs  LP      
Terrorain   UK  88 Demo 7"      
Total Fucking Destruction/Vehemence USA/UK  split   7"      
Total Fury  JAP Commited To The Core    7"      
Totalitar   SWE Sin Egen Modstandare    LP      
Totalitar   SWE Ni Mast Bort    LP      
Totalitar/Disclose  SWE/JAP split   LP      
Totalitar   SWE Allting Ar Pa Latsas    7"      
Totalitar   SWE Klas Inte Ras   7"      
Totalitar   SWE Spela Bort Allt Du Har  7"      
Totalitar/Drop Dead SWE/USA split   7"      
Totalitar/Tragedy   SWE/USA split   7"      
Totalitar   SWE Wallbreaker 86-89   CD      
Tragedy USA Vengeance   LP      
Ulcerrhoea/Sivilmurha   GER/FIN split   7"      
Uncurbed    SWE Keeps The Banner High   LP      
Uncurbed    SWE Punks On Parole LP      
Under Threat/Sivilmurha BRA/FIN split   LP      
Unholy Grave/Agathocles JAP/BEL split   LP      
Unholy Grave/Captain 3 Leg  JAP/USA split   7"      
Unruh   USA Setting Fire To Sinking Ships   CD      
Urban DK    USA Innocent Victim LP      
Urko/Minute Manifesto   UK  split   LP      
V/A     Albany Style Hardcore (Monster X, By The Throat etc)    7"      
V/A     American Waste Vol 1 (Catheter, Scot Baio Army etc) CD      
V/A     Barbaric Thrash Detonation Vol 1 (Charm, Real Reggae etc)   7" & CD     
V/A     Barbaric Thrash Demolition Vol 2 (Discarga, Lifes Halt etc) 7"      
V/A     Barbaric Thrash Demolition Vol 3 (Edora, Bruce Banner..)    7" & 2 x CD     
V/A     Bleeuurrggh - A Music War (73 bands, 84 songs!!)    7"      
V/A     The Bloodbath Is Coming (Nasum, Assel, Hog etc) 2 x 7"      
V/A     Cry Now Cry Later Vol 1-4 (Spazz, Cavity, EHG etc)  2CD     
V/A     Dutch Assault (Inhume, Suppository etc) CD      
V/A     Europe In Decline (Cripple Bastards, Tolchock etc)  LP      
V/A     Eye Of The Thrashguerilla (Deathside, Raise Cain etc)   LP      
V/A     Fiesta Comes Alive (Crossed Out, Utter Bastard etc) LP      
V/A     Flex Your Head (Teen Idles, Iron Cross etc) LP      
V/A     Histeria Vol 2 (DS 13, Conga Fury, Tomorrow etc)    LP      
V/A     Hurt Your Feelings (Six Weeks Records Comp) CD      
V/A     Iron Columns (Krigshot, Dezerter, Los Crudos etc)   2LP     
V/A     Japan In Decline (Slang, Mass Genocide, SU19b etc)  CD      
V/A     Japanese Assault (Swarrrm, Muga, Realized etc)  CD      
V/A     Killed By Hardcore Vol1/2/3 (Lama, Koro, Negazione etc) 3LP     
V/A     Louder Than Hell (Hirax, Municipal Waste, Accused etc)  7"      
V/A     Mie City Hardcore (Contrast Attitude, Alive etc)    7"      
V/A     Mosh Circle, Jerk Punks (Modern Japcore: Tommorrow etc) LP      
V/A     Murderous Grind Attack (Brob, Reform Control, Kalibas etc)  CD      
V/A     Onslaught (Yacopsae, Insult etc: 20 trax!)  7"      
V/A     Polar Grinder (Nasum, Birdflesh, Arsedestroyer etc) LP      
V/A     Reality Vol 3 (Infest, MK Ultra, Phobia etc)    CD      
V/A     Reality Vol 4 (324, Damad, Dudman etc)  LP      
V/A     Short Fast & Loud Vol 1-2 (Shank, Despite, Skarp etc)   2CD     
V/A     Six Weeks Omnibus Vol 2 (Soul Craft, Exhale etc Japcore)    LP      
V/A     South America In Decline (RDP, Apatia No, Notoken etc)  LP      
V/A     Swedish Assault (Sayyadina, Birdflesh etc)  CD      
V/A     This Is The Life Vol 4-5 (Japcore: Exclaim, District etc)   2CD     
V/A     This Is Kangaroo Not Berkley (Brezhnev, Out Cold etc)   7"      
V/A     Thrash Of The Titans (Hirax, DRI, DS13 etc) LP      
V/A     Tomorrow Will Be Worse Vol 1 (Nice View, F.O.B etc) 4 x 7"      
V/A     Tomorrow Will Be Worse Vol 2 (Uncurbed, Scalplock etc)  LP      
V/A     Tomorrow Will Be Worse Vol 3 (Vivisick, Idol Punch etc) 3 x 7"      
V/A     Tomorrow Will Be Worse Vol 4 (No Value, Fasts etc)  3 x 7"      
Vae Victis  USA s/t LP      
Visual Discrimination   USA s/t 7"      
Vivisick    JAP Punks Were Made Before Sounds   7"      
Vivisick/Mukeka Di Rato JAP/BRA split   LP      
Voetsek USA Tinea Cruris    7"      
Voetsek USA Castrator   LP      
Voorhees    UK  Spilling Blood Without Reason   LP      
Voorhees    UK  Crystal Lakes Legacy    LP      
Voorhees    UK  "13"    CD      
Voorhees/Devoid Of Faith    UK/USA  split   LP      
Warsore AUS Brutal Reprisal 7"      
Wastoid USA Total Pukeoid   LP      
What Happens Next   USA s/t 7"      
What Happens Next   USA Brutiful Fearing    6"      
What Happens Next   USA Ahora Mas Que Nunea 7"      
What Happens Next   USA Euro Tour 2003  7"      
What Happens Next   USA No Cash No Thrash   7"      
What Happens Next   USA Stand Fast Armageddon Justice Fighter   LP      
What Happens Next   USA Hollow Victory  10"     
What Happens Next/Lifes Halt    USA split   LP      
Whole In The Head   UK  Demo            
Widespread Bloodshed    SWE s/t 7"      
Widespread Bloodshed/Brodys Militia SWE/USA split   LP      
Wilbur Cobb GER I Eat Punks Like You For Breakfast  7"      
Wolfbrigade SWE A D-Beat Odyssey    MLP     
Word Salad  USA Death March 2000    CD      
World Burns To Death    USA The Sucking Of The Missile Cock LP      
World Burns To Death    USA Human Meat…Tossed To The Dogs Of War    7"      
World Burns To Death    USA s/t 7"      
World Burns To Death    USA The Art Of Self Destruction 7"      
World Burns To Death    USA No Dawn Comes…Night Without End 7"      
World Burns To Death/Sick Terror    USA/BRA split   7"      
Yacopsae    GER This Is Turbo Speed Violence    10"     
Yacopsae    GER Einstweilige Vernichtung    CD      
Yacopsae/Sanity's Dawn  GER split   LP      
Youth Strike Chord  JAP s/t     7"      
